Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,19/04/2017,52.337063,50.192121,52.756924,49.880743
ETH,20/04/2017,49.91781,52.337063,52.856517,48.563498
ETH,21/04/2017,51.986983,49.91781,52.276436,49.835383
ETH,22/04/2017,51.278525,51.986983,52.241783,51.145228
ETH,23/04/2017,52.635354,51.278525,52.901889,51.148634
ETH,24/04/2017,53.604876,52.635354,53.936824,51.90719
ETH,25/04/2017,53.330552,53.604876,53.913078,52.994139
ETH,26/04/2017,53.917308,53.330552,54.258382,53.165818
ETH,27/04/2017,57.55117,53.917308,58.326857,53.479118
ETH,28/04/2017,69.292865,57.55117,70.539551,57.411803
ETH,29/04/2017,74.292294,69.292865,76.775614,66.383795
ETH,30/04/2017,75.037031,74.292294,75.875578,71.397834
ETH,01/05/2017,86.099496,75.037031,87.265268,74.022742
ETH,02/05/2017,84.480807,86.099496,87.510916,78.356506
ETH,03/05/2017,82.511277,84.480807,84.480807,80.281334
ETH,04/05/2017,86.292093,82.511277,86.292093,81.731162
ETH,05/05/2017,99.979653,86.292093,100.026072,86.292093
ETH,06/05/2017,94.44738,99.979653,100.8384,86.261576
ETH,07/05/2017,95.440527,94.44738,96.775756,91.007935
ETH,08/05/2017,92.249991,95.440527,98.375451,91.263387
ETH,09/05/2017,87.142343,92.249991,94.419758,86.104989
ETH,10/05/2017,89.864235,87.142343,90.345192,74.147195
ETH,11/05/2017,88.322378,89.864235,92.289736,86.495645
ETH,12/05/2017,90.112081,88.322378,99.6031,87.357055
ETH,13/05/2017,86.622737,90.112081,93.1231,85.041403
ETH,14/05/2017,90.033173,86.622737,93.8123,86.091389
ETH,15/05/2017,90.694035,90.033173,91.6201,88.337755
ETH,16/05/2017,92.590657,90.694035,95.4305,86.8292
ETH,17/05/2017,89.577718,92.590657,92.9333,83.944876
ETH,18/05/2017,91.339332,89.577718,91.984764,87.363749
ETH,19/05/2017,108.274908,91.339332,108.68795,90.5594
ETH,20/05/2017,127.267172,108.274908,133.641,104.262
ETH,21/05/2017,124.900392,127.267172,131.554,120.398172
ETH,22/05/2017,148.333874,124.900392,172.189,124.048795
ETH,23/05/2017,159.999428,148.333874,201.746,138.537739
ETH,24/05/2017,175.471684,159.999428,192.36,153.215315
ETH,25/05/2017,187.826425,175.471684,228.374,175.471684
ETH,26/05/2017,176.35396,187.826425,210.984,155.352088
ETH,27/05/2017,144.838435,176.35396,193.688,139.528775
ETH,28/05/2017,164.135585,144.838435,171.499,101.723915
ETH,29/05/2017,158.999202,164.135585,179.935,142.121116
ETH,30/05/2017,196.869683,158.999202,203.571,156.387386
ETH,31/05/2017,216.577291,196.869683,235.845,189.425817
ETH,01/06/2017,221.219432,216.577291,236.965,200.835481
ETH,02/06/2017,219.461977,221.219432,236.221,200.902823
ETH,03/06/2017,216.890385,219.461977,229.411,208.985545
ETH,04/06/2017,224.549544,216.890385,236.095,210.570802
ETH,05/06/2017,241.675036,224.549544,250.41,223.299262
ETH,06/06/2017,251.874861,241.675036,257.646,234.336529
ETH,07/06/2017,261.79265,251.874861,267.514,247.232244
ETH,08/06/2017,250.930389,261.79265,264.32,243.601026
ETH,09/06/2017,258.637335,250.930389,264.39,249.336729
ETH,10/06/2017,284.500258,258.637335,287.018,258.637335
ETH,11/06/2017,336.070318,284.500258,350.261,283.528195
ETH,12/06/2017,343.417647,336.070318,353.011,324.675325
ETH,13/06/2017,373.624676,343.417647,414.756,307.338643
ETH,14/06/2017,382.221369,373.624676,403.698,349.159737
ETH,15/06/2017,332.25862,382.221369,397.298,314.709422
ETH,16/06/2017,325.530517,332.25862,364.439,263.950642
ETH,17/06/2017,340.834591,325.530517,373.055,325.530517
ETH,18/06/2017,371.631992,340.834591,382.809,340.834591
ETH,19/06/2017,358.41611,371.631992,390.581,338.491915
ETH,20/06/2017,364.690598,358.41611,377.115,348.572752
ETH,21/06/2017,348.365734,364.690598,377.969,321.082212
ETH,22/06/2017,312.417589,348.365734,352.47,295.319174
ETH,23/06/2017,324.634294,312.417589,341.401,307.012302
ETH,24/06/2017,324.955093,324.634294,340.124,323.501042
ETH,25/06/2017,295.433814,324.955093,326.664084,285.388748
ETH,26/06/2017,283.581248,295.433814,305.47336,251.345197
ETH,27/06/2017,253.886743,283.581248,283.581248,207.751739
