Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,15/01/2020,166.5383399,163.8406104,171.6563009,158.8671805
ETH,16/01/2020,163.9372081,166.3027404,167.2172214,158.1935887
ETH,17/01/2020,171.5889768,163.937012,174.0779173,161.99306
ETH,18/01/2020,176.700434,171.5958832,179.1611163,164.985758
ETH,19/01/2020,166.0633101,176.657885,177.8974234,161.6662374
ETH,20/01/2020,167.5725368,166.0631809,169.2062999,161.0670262
ETH,21/01/2020,169.0544916,167.373634,169.9529092,164.1286409
ETH,22/01/2020,167.1518345,169.0544205,171.1612132,165.6820816
ETH,23/01/2020,162.6714167,167.1518146,167.8245546,158.8187964
ETH,24/01/2020,162.8065224,162.3679149,164.2163654,155.2544171
ETH,25/01/2020,160.9178681,162.8065025,163.7269775,157.3198028
ETH,26/01/2020,166.7218659,160.9179032,167.5504987,159.1773129
ETH,27/01/2020,169.8001126,166.7228033,171.7815363,164.9161589
ETH,28/01/2020,173.5481484,169.801455,174.2348638,169.501864
ETH,29/01/2020,175.4603221,173.5175971,178.2467887,173.0267159
ETH,30/01/2020,186.2620414,173.5603847,186.3123396,170.5479945
ETH,31/01/2020,181.7284342,186.3285604,186.6111016,175.0291985
ETH,01/02/2020,182.7739889,181.7283382,184.0332785,179.0145943
ETH,02/02/2020,189.3125531,183.4823208,193.2911004,178.9859952
ETH,03/02/2020,189.2575929,189.3134157,195.08972,186.5603487
ETH,04/02/2020,188.6750822,189.6130188,191.340966,184.3270488
ETH,05/02/2020,204.5305348,188.6684409,207.4707776,187.6323374
ETH,06/02/2020,211.2924866,203.5375203,216.1313985,201.0790494
ETH,07/02/2020,221.8331394,211.2919393,224.4646953,210.8638617
ETH,08/02/2020,224.0294272,221.8323626,227.6191842,213.2555276
ETH,09/02/2020,228.044309,223.3181345,230.8103672,223.1313498
ETH,10/02/2020,223.3196378,228.0450894,229.5480393,216.4743145
ETH,11/02/2020,237.8783455,222.9542937,239.6841923,218.1670884
ETH,12/02/2020,268.3962677,237.8861993,275.4723672,236.4062899
ETH,13/02/2020,266.2518149,268.3807601,277.9827305,255.7409068
ETH,14/02/2020,284.0004909,268.5806049,285.4471774,260.3258231
ETH,15/02/2020,267.3531863,283.9993078,289.0017948,261.3504166
ETH,16/02/2020,255.3551842,267.3499374,273.9227614,234.4556604
ETH,17/02/2020,261.1372307,259.3453376,263.2025109,242.5995295
ETH,18/02/2020,281.3812072,261.1376118,286.3718583,259.532188
